"date","task_id","department_id","department","role","service_code","service_name","target","workstream_code","workstream","title","acceptance_criteria","priority","effort","today_candidate","automation_hook","source_ref1","source_ref2"
"2026-03-03","T1-001","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W01","Requirements Traceability","[Platform] Requirements Traceability: prioritize, assign owner, and approve go/no-go criteria","Deliver traceability matrix for web/platform/*.html; map to owner/SLA; link evidence in docs.","P0","S","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-002","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W02","Page Function Audit","[Platform] Page Function Audit: prioritize, assign owner, and approve go/no-go criteria","Deliver feature checklist for web/platform/*.html; map to owner/SLA; link evidence in docs.","P1","S","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-003","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W03","API Contract Audit","[Platform] API Contract Audit: prioritize, assign owner, and approve go/no-go criteria","Deliver contract diff report for web/platform/*.html; map to owner/SLA; link evidence in docs.","P1","M","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-004","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W04","Data Integrity","[Platform] Data Integrity: prioritize, assign owner, and approve go/no-go criteria","Deliver data rule set for web/platform/*.html; map to owner/SLA; link evidence in docs.","P1","M","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-005","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W05","Test Automation","[Platform] Test Automation: prioritize, assign owner, and approve go/no-go criteria","Deliver automated test cases for web/platform/*.html; map to owner/SLA; link evidence in docs.","P2","M","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-006","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W06","Performance and SLO","[Platform] Performance and SLO: prioritize, assign owner, and approve go/no-go criteria","Deliver SLO and budget for web/platform/*.html; map to owner/SLA; link evidence in docs.","P2","L","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-007","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W07","Security Hardening","[Platform] Security Hardening: prioritize, assign owner, and approve go/no-go criteria","Deliver risk register and fixes for web/platform/*.html; map to owner/SLA; link evidence in docs.","P2","M","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-008","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W08","CI/CD Automation","[Platform] CI/CD Automation: prioritize, assign owner, and approve go/no-go criteria","Deliver pipeline gates for web/platform/*.html; map to owner/SLA; link evidence in docs.","P3","S","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-009","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W09","Runbook and Incident","[Platform] Runbook and Incident: prioritize, assign owner, and approve go/no-go criteria","Deliver runbook update for web/platform/*.html; map to owner/SLA; link evidence in docs.","P3","S","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
"2026-03-03","T1-010","T1","Chief Dispatcher","priority-governance","S01","Platform","web/platform/*.html","W10","Metrics and Reporting","[Platform] Metrics and Reporting: prioritize, assign owner, and approve go/no-go criteria","Deliver dashboard and report for web/platform/*.html; map to owner/SLA; link evidence in docs.","P3","M","Yes","Docs->Validation->Handoff: update markdown + trigger validation checklist + emit handoff payload",".agent/AGENT_SYSTEM.md","USER_MANUAL.md"
